,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
181,Anomaly Warzone Earth,37.0,77.50000000000001,0.0032599118942731277,4068.0,Strategy,,PC,Unknown,11 bit studios,7.9,,0.57,,,,,,2011.0
183,Another Perspective,1.0,0.3,8.81057268722467e-05,22798.0,Adventure,,PC,Unknown,Unknown,,,,,,,,,2014.0
184,Another World,5.0,6.2,0.0004405286343612335,22800.0,Adventure,,PC,Adult Dream,DotEmu,,,,,,,,,2014.0
190,Apotheon,5.0,14.6,0.0004405286343612335,9557.0,Platform,,PC,AlienTrap Games,AlienTrap Games,,,0.17,,,,,,2013.0
194,AquaNox,2.0,0.8999999999999999,0.0001762114537444934,22895.0,Simulation,T,PC,Fishtank Interactive,Massive Development,6.4,,,,,,,,2001.0
195,Aquaria,7.0,30.0,0.0006167400881057269,9860.0,Adventure,,PC,Bit Blot,Bit Blot,,,0.16,,,,,,2007.0
196,Arcadia,1.0,0.6,8.81057268722467e-05,22973.0,Shooter,,PC,Unknown,Joshyy,,,,,,,,,2010.0
207,Arma 2 Operation Arrowhead,189.0,9429.700000000003,0.016651982378854624,303.0,Shooter,,PC,Unknown,Bohemia Interactive,,,4.51,,,,,,2011.0
213,Arma Tactics,5.0,9.7,0.0004405286343612335,11751.0,Strategy,,PC,Bohemia Interactive,Bohemia Interactive,,,0.11,,,,,,2013.0
215,Armello,2.0,14.0,0.0001762114537444934,23074.0,Strategy,E10,PC,League of Geeks,League of Geeks,,,,,,,,,2015.0
216,Armikrog,1.0,4.7,8.81057268722467e-05,23081.0,Adventure,,PC,Versus Evil,Pencil Test Studios,,,,,,,,,2015.0
217,Arms Dealer,1.0,1.9,8.81057268722467e-05,23098.0,Strategy,,PC,Case in Point Studios,Case in Point Studios,,,,,,,,,2015.0
219,Artemis Spaceship Bridge Simulator,3.0,8.5,0.00026431718061674007,52978.0,Simulation,,PC,"Incandescent Core, LLC","Incandescent Core, LLC",,,,,,,,,2013.0
220,Arx Fatalis,5.0,62.3,0.0004405286343612335,20628.0,Role-Playing,M,PC,JoWood Productions,Arkane Studios,,,,0.0,,0.0,,0.0,2002.0
221,Ascend Hand of Kul,11.0,62.29999999999999,0.0009691629955947136,23205.0,Misc,,PC,Signal Studios,Unknown,,,,,,,,,2014.0
222,Ascendant,1.0,5.0,8.81057268722467e-05,23209.0,Misc,,PC,Unknown,Unknown,,,,,,,,,2014.0
224,Assassin's Creed,36.0,415.40000000000003,0.003171806167400881,2661.0,Adventure,M,PC,Ubisoft,Ubisoft Montreal,7.6,,,0.91,0.01,0.84,,0.06,2008.0
225,Assassin's Creed Brotherhood,39.0,976.4000000000001,0.0034361233480176214,3908.0,Action,M,PC,Ubisoft,Ubisoft Montreal,8.7,,,0.59,0.16,0.34,,0.09,2011.0
226,Assassin's Creed Freedom Cry,3.0,8.9,0.00026431718061674007,23253.0,Misc,,PC,Ubisoft,Unknown,,,,,,,,,2014.0
227,Assassin's Creed II,59.0,1646.1,0.005198237885462555,4270.0,Action,M,PC,Ubisoft,Ubisoft Montreal,8.5,,,0.54,0.01,0.45,,0.07,2010.0
228,Assassin's Creed III,56.0,2545.3999999999996,0.004933920704845815,2718.0,Action-Adventure,M,PC,Ubisoft,Ubisoft Montreal,8.6,,,0.89,0.28,0.54,,0.07,2012.0
229,Assassin's Creed IV Black Flag,54.0,3230.3000000000006,0.004757709251101322,3679.0,Action-Adventure,M,PC,Ubisoft,Ubisoft Montreal,8.5,,,0.63,0.24,0.34,,0.05,2013.0
230,Assassin's Creed Revelations,30.0,1145.1,0.0026431718061674008,3137.0,Action,M,PC,Ubisoft,Ubisoft Montreal,,,,0.76,0.16,0.49,,0.11,2011.0
231,Assassin's Creed Rogue,1.0,62.0,8.81057268722467e-05,12362.0,Action,M,PC,Ubisoft,Ubisoft Sofia,,,,0.1,0.07,0.02,,0.01,2015.0
232,Assassin's Creed Syndicate,3.0,96.4,0.00026431718061674007,7444.0,Action,M,PC,Ubisoft,Ubisoft Quebec,,,,0.26,0.15,0.09,,0.02,2015.0
235,Assault Android Cactus,2.0,2.9,0.0001762114537444934,23274.0,Misc,,PC,Witch Beam Games,Unknown,,,,,,,,,2013.0
236,Assetto Corsa,18.0,283.29999999999995,0.0015859030837004405,2898.0,Racing,E,PC,Kunos Simulazioni,Kunos Simulazioni,,,0.83,,,,,,2014.0
237,Astebreed,2.0,0.8,0.0001762114537444934,23292.0,Action,,PC,Edelweiss,Edelweiss,,,,,,,,,2014.0
238,Asteria,1.0,1.0,8.81057268722467e-05,23293.0,Platform,,PC,Legend Entertainment,Legend Entertainment,,,,,,,,,2014.0
241,Atlantica Online,1.0,8.2,8.81057268722467e-05,23409.0,Misc,,PC,NDoors Interactive,Unknown,,,,,,,,,2008.0
244,Audiosurf 2,7.0,110.30000000000001,0.0006167400881057269,6381.0,Music,,PC,Unknown,Dylan Fitterer,,,0.32,,,,,,2000.0
246,Auditorium,2.0,0.9,0.0001762114537444934,23462.0,Puzzle,,PC,Cipher Prime,Cipher Prime,,,,,,,,,2009.0
247,Aura Fate of the Ages,3.0,10.799999999999999,0.00026431718061674007,23473.0,Adventure,E,PC,The Adventure Company,Streko-Graphics Inc.,,,,,,,,,2004.0
252,Avadon 2 The Corruption,1.0,2.9,8.81057268722467e-05,53044.0,Role-Playing,,PC,Unknown,Spiderweb Software,,,,,,,,,1980.0
253,Avadon The Black Fortress,3.0,1.0,0.00026431718061674007,23494.0,Role-Playing,,PC,Spiderweb Software,Spiderweb Software,,,,,,,,,2011.0
254,Avernum 4,1.0,228.0,8.81057268722467e-05,23548.0,Role-Playing,,PC,Spiderweb Software,Spider Web Software,,,,,,,,,2006.0
255,Avernum 5,1.0,222.0,8.81057268722467e-05,23549.0,Role-Playing,,PC,Spiderweb Software,Spider Web Software,,,,,,,,,2008.0
256,Avernum 6,1.0,80.0,8.81057268722467e-05,23550.0,Role-Playing,,PC,Spiderweb Software,Spiderweb Software,,,,,,,,,2010.0
260,Awesomenauts,68.0,1504.7,0.0059911894273127755,23572.0,Misc,,PC,Ronimo Games,Unknown,,,,,,,,,2012.0
